エリア,No.,落札日,案件名,機関（発注者名）,落札会社名,落札価格（円）,支店名,電話番号,担当者,メールアドレス,Mazricaコンタクト,アプローチ方法,ステータス,最終接点日,Malme担当,アクション履歴
東北,368,2026/3/16,尾花沢国道管内道路附属物点検業務,国土交通省(MLIT) 東北地方整備局,尾花沢国道管内道路附属物点検業務双葉建設・復建技術設計共同体,21500000,,,,,,,,,,
東北,369,2026/3/6,福島管内河川大規模災害等積算技術業務,国土交通省(MLIT) 東北地方整備局,福島管内河川大規模災害等積算技術業務中野建設・MIS・ティケイエンジ設計共同体,126000000,,,,,,,,,,
東北,370,2026/3/17,米沢国道管内道路附属物点検業務,国土交通省(MLIT) 東北地方整備局,米沢国道管内道路附属物点検業務新和設計・パスコ設計共同体,23300000,,,,,,,,,,
東北,371,2026/3/9,八幡平山系砂防施設三次元点群測量業務,国土交通省(MLIT) 東北地方整備局,北栄調査設計株式会社,13770000,,,,,,,,,,
東北,372,2026/3/9,北上川上流盛岡地区管理基図作成業務,国土交通省(MLIT) 東北地方整備局,北上川上流盛岡地区管理基図作成業務エアロトヨタ・北日本朝日航洋設計共同体,11930000,,,,,,,,,,
東北,373,2025/12/26,鳴瀬川総合開発CIMモデル運用監理検討業務,国土交通省(MLIT) 東北地方整備局,鳴瀬川総合開発CIMモデル運用監理検討業務八千代エンジニヤリング・日本建設情報総合センター設計共同体,19954000,,,,,,,,,,
東北,374,2026/3/12,野辺地七戸道路板橋山地区道路詳細設計業務,国土交通省(MLIT) 東北地方整備局,野辺地七戸道路板橋山地区道路詳細設計業務キタコン・大日本ダイヤコンサルタント設計共同体,14610000,,,,,,,,,,
北陸,375,2026/3/19,令和7年度能越道災害復旧測量業務,国土交通省(MLIT) 北陸地方整備局,NiX JAPAN株式会社,19220000,,,,,,,,,,
北陸,376,2026/3/19,令和7年度利賀ダム管内設計業務,国土交通省(MLIT) 北陸地方整備局,NiX JAPAN株式会社,12750000,,,,,,,,,,
北陸,377,2026/3/11,令和7年度千曲川河川事務所管内多数権利者処理業務その3,国土交通省(MLIT) 北陸地方整備局,NiXJAPAN株式会社,12040000,,,,,,,,,,
北陸,378,2025/9/30,R7年度一般国道157号野町電線共同溝工事等(沿道調査業務),国土交通省(MLIT) 北陸地方整備局,NTTインフラネット株式会社,8468900,,,,,,,,,,
北陸,379,2025/9/30,国道8号法音寺地区電線共同溝詳細設計業務,国土交通省(MLIT) 北陸地方整備局,NTTインフラネット株式会社,27784900,,,,,,,,,,
北陸,380,2024/4/1,R6・7・8新潟国道道路許認可審査・適正化指導業務B,国土交通省(MLIT) 北陸地方整備局 新潟国道事務所,R6・7・8新潟国道道路許認可審査・適正化指導業務B建設マネジメント北陸東・北陸土木サービス設計共同体,84810000,,,,,,,,,,
北陸,381,2026/3/16,令和8年度湯沢砂防事務所管内流量観測業務,国土交通省(MLIT) 北陸地方整備局,TAG株式会社,24950000,,,,,,,,,,
北陸,382,2026/3/19,新潟県警察学校外2件(25)照明設備改修実施設計業務,国土交通省(MLIT) 北陸地方整備局,あい設計株式会社,12500000,,,,,,,,,,
北陸,383,2026/3/17,富山地方気象台設備棟(25)増築外1件設計業務,国土交通省(MLIT) 北陸地方整備局,あい設計株式会社,19200000,,,,,,,,,,
北陸,384,2026/3/23,令和8年度高原川流域自然環境モニタリング調査業務,国土交通省(MLIT) 北陸地方整備局,アジア航測株式会社,10590000,,,,,,,,,,
北陸,385,2026/3/11,令和8年度梓川上流域環境影響調査等検討業務,国土交通省(MLIT) 北陸地方整備局,アジア航測株式会社,,,,,,,,,,,
北陸,386,2024/4/1,令和6年度関川・姫川水辺現地調査業務,国土交通省(MLIT) 北陸地方整備局 高田河川国道事務所,いであ株式会社,24871000,,,,,,,,,,
北陸,387,2026/3/13,令和7年度石川海岸撮影図化業務,国土交通省(MLIT) 北陸地方整備局,エアロトヨタ株式会社,20770000,,,,,,,,,,
北陸,388,2026/1/16,令和7年度小矢部川定期横断測量業務,国土交通省(MLIT) 北陸地方整備局,エアロトヨタ株式会社,35230000,,,,,,,,,,
北陸,389,2026/1/30,R7能登復興(道路)地質調査(その5)業務,国土交通省(MLIT) 北陸地方整備局,サンコーコンサルタント株式会社,39200000,,,,,,,,,,
北陸,390,2025/12/24,令和7年度黒部川他河床材料調査業務,国土交通省(MLIT) 北陸地方整備局,ダイチ株式会社,22000000,,,,,,,,,,
北陸,391,2026/3/10,両津港(湊地区)岸壁(-7.5m)(改良)桟橋部構造検討業務,国土交通省(MLIT) 北陸地方整備局 新潟港湾・空港整備事務所,パシフィックコンサルタンツ株式会社,33660000,,,,,,,,,,
北陸,392,2026/3/10,両津港(湊地区)岸壁(-7.5m)(改良)桟橋部構造検討業務,国土交通省(MLIT) 北陸地方整備局 新潟港湾・空港整備事務所,パシフィックコンサルタンツ株式会社,33660000,,,,,,,,,,
北陸,393,,令和5年度利賀ダム建設事業設計等技術評価その2業務,国土交通省(MLIT) 北陸地方整備局 利賀ダム工事事務所,一般財団法人ダム技術センター,20493000,,,,,,,,,,
北陸,394,2026/2/16,令和7年度大規模土砂災害に対する危機管理計画検討業務,国土交通省(MLIT) 北陸地方整備局,一般財団法人砂防フロンティア整備推進機構,26609000,,,,,,,,,,
北陸,395,2026/1/26,令和7年度松本砂防工事安全対策に関する動向調査分析検討業務,国土交通省(MLIT) 北陸地方整備局,一般財団法人砂防フロンティア整備推進機構,19998000,,,,,,,,,,
北陸,396,,令和6年度立山砂防歴史的砂防施設保存活用計画検討業務,国土交通省(MLIT) 北陸地方整備局 立山砂防事務所,一般財団法人砂防フロンティア整備推進機構,29997000,,,,,,,,,,
北陸,397,2026/3/18,令和7・8年度松本砂防事務所事業監理業務,国土交通省(MLIT) 北陸地方整備局,一般社団法人北陸地域づくり協会,41800000,,,,,,,,,,
北陸,398,2025/7/16,R7・R8西湘海岸保全施設整備計画検討業務,国土交通省(MLIT) 北陸地方整備局 新潟港湾空港技術調査事務所,沿岸技術研究センター・エイト日本技術開発設計共同体,26840000,,,,,,,,,,
北陸,399,2026/3/19,令和7年度能越道災害復旧地質調査業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,19690000,,,,,,,,,,
北陸,400,2026/3/24,令和7年度大町ダム等再編環境影響評価等検討業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,22760000,,,,,,,,,,
北陸,401,2026/3/23,令和7・8年度千曲川遊水地地質調査業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,24770000,,,,,,,,,,
北陸,402,2026/3/13,令和7年度金沢河川国道道路地質調査その3業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,26080000,,,,,,,,,,
北陸,403,2026/3/19,令和8年度湯沢砂防事務所地質関連観測調査業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,19660000,,,,,,,,,,
北陸,404,2026/3/4,令和7年度千曲川流域治水施設検討業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,14927000,,,,,,,,,,
北陸,405,2026/1/30,R7能登復興(道路)地質調査(その6)業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,38900000,,,,,,,,,,
北陸,406,2025/11/4,令和7年度信濃川上流域砂防施設修正設計業務,国土交通省(MLIT) 北陸地方整備局 松本砂防事務所,応用地質株式会社,16566000,,,,,,,,,,
北陸,407,2025/12/15,令和7年度金沢河川国道管内河川地質調査業務,国土交通省(MLIT) 北陸地方整備局,応用地質株式会社,10670000,,,,,,,,,,
北陸,408,2026/3/17,令和7年度国道253号十日町道路詳細設計業務,国土交通省(MLIT) 北陸地方整備局,開発技建株式会社,16850000,,,,,,,,,,
北陸,409,2026/2/26,R7井戸場地区取水施設詳細設計外業務,国土交通省(MLIT) 北陸地方整備局,開発技建株式会社,18050000,,,,,,,,,,
北陸,410,2026/2/16,R7新潟国道管内設計その2業務,国土交通省(MLIT) 北陸地方整備局,開発技建株式会社,20000000,,,,,,,,,,
北陸,411,2026/1/22,R7小須戸橋取付道路詳細設計他業務,国土交通省(MLIT) 北陸地方整備局,開発技建株式会社,17600000,,,,,,,,,,
北陸,412,2025/11/4,令和7年度犀川定期縦横断測量業務,国土交通省(MLIT) 北陸地方整備局 千曲川河川事務所,株)パスコ,34606000,,,,,,,,,,
北陸,413,2026/3/6,令和8年度松本砂防事務所管内流量観測業務,国土交通省(MLIT) 北陸地方整備局,株式会社AB.do,15730000,,,,,,,,,,
北陸,414,2024/4/1,令和6年度姫川流量観測及び採水業務,国土交通省(MLIT) 北陸地方整備局 高田河川国道事務所,株式会社SIC桑原,22330000,,,,,,,,,,
北陸,415,2026/3/12,令和7年度野積地区(南工区その4)用地調査等業務,国土交通省(MLIT) 北陸地方整備局,株式会社アルゴス,14750000,,,,,,,,,,
北陸,416,2025/4/1,令和7年度立山砂防事務所水文観測所点検及び資料整理業務,国土交通省(MLIT) 北陸地方整備局 立山砂防事務所,株式会社ウエノ,20680000,,,,,,,,,,
北陸,417,2026/3/19,令和7年度利賀ダム環境モニタリング調査その2業務,国土交通省(MLIT) 北陸地方整備局,株式会社オリエンタルコンサルタンツ,18290000,,,,,,,,,,
北陸,418,2026/3/12,令和7年度国道253号十日町道路トンネル設備概略検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社オリエンタルコンサルタンツ,20240000,,,,,,,,,,
北陸,419,2026/3/18,令和7年度湯沢砂防事務所管内地質調査その2業務,国土交通省(MLIT) 北陸地方整備局,株式会社キタック,19150000,,,,,,,,,,
北陸,420,2026/2/16,令和7年度国道289号八十里越道路構造物外設計業務,国土交通省(MLIT) 北陸地方整備局,株式会社キタック,16930000,,,,,,,,,,
北陸,421,2024/4/1,R6越後公園獣害対策検討業務,国土交通省(MLIT) 北陸地方整備局 国営越後丘陵公園事務所,株式会社グリーンシグマ,11352000,,,,,,,,,,
北陸,422,2026/3/23,令和7年度湯沢砂防事務所管内測量その3業務,国土交通省(MLIT) 北陸地方整備局,株式会社ナカノアイシステム,19250000,,,,,,,,,,
北陸,423,2026/3/12,令和7年度野積地区(南工区その3)用地調査等業務,国土交通省(MLIT) 北陸地方整備局,株式会社ナルサワコンサルタント,14740000,,,,,,,,,,
北陸,424,2025/3/25,令和5・6年度金沢河川国道(河川)積算技術業務,国土交通省(MLIT) 北陸地方整備局 金沢河川国道事務所,株式会社建設マネジメント北陸西,159841000,,,,,,,,,,
北陸,425,,令和4・5・6年度金沢河川国道河川巡視等支援業務,国土交通省(MLIT) 北陸地方整備局 金沢河川国道事務所,株式会社建設マネジメント北陸西,103499000,,,,,,,,,,
北陸,426,2024/4/1,令和6・7年度高田河川国道事務所積算技術その1業務,国土交通省(MLIT) 北陸地方整備局 高田河川国道事務所,株式会社建設マネジメント北陸東,127490000,,,,,,,,,,
北陸,427,,R5・6新潟国道技術審査業務,国土交通省(MLIT) 北陸地方整備局 新潟国道事務所,株式会社建設マネジメント北陸東,35684000,,,,,,,,,,
北陸,428,2024/4/1,R6・7新潟国道工事監督支援その4業務,国土交通省(MLIT) 北陸地方整備局 新潟国道事務所,株式会社建設マネジメント北陸東,82500000,,,,,,,,,,
北陸,429,2024/4/1,R6・7新潟国道工事監督支援その3業務,国土交通省(MLIT) 北陸地方整備局 新潟国道事務所,株式会社建設マネジメント北陸東,82500000,,,,,,,,,,
北陸,430,2026/2/9,令和7年度神通川自然再生計画検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設環境研究所,11990000,,,,,,,,,,
北陸,431,2026/3/12,令和7年度松本砂防管内電気通信設備設計業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設技術研究所,18040000,,,,,,,,,,
北陸,432,2026/3/13,令和7年度大河津分水路水理模型実験業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設技術研究所,40744000,,,,,,,,,,
北陸,433,2026/3/6,令和7年度松本砂防事務所砂防設備メンテナンス計画検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設技術研究所,,,,,,,,,,,
北陸,434,2026/3/4,令和7年度千曲川治水計画検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設技術研究所,79992000,,,,,,,,,,
北陸,435,2026/2/6,令和7年度阿賀川自然再生計画検討その2業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設技術研究所,15169000,,,,,,,,,,
北陸,436,,令和6年度横江下流(仮称)砂防堰堤検討業務,国土交通省(MLIT) 北陸地方整備局 立山砂防事務所,株式会社建設技術研究所,33000000,,,,,,,,,,
北陸,437,2025/10/27,令和7年度千曲川管内遊水地設計業務,国土交通省(MLIT) 北陸地方整備局 千曲川河川事務所,株式会社建設技術研究所,16192000,,,,,,,,,,
北陸,438,2026/1/26,令和7年度小矢部川水系事業計画検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社建設技術研究所,39974000,,,,,,,,,,
北陸,439,2026/3/19,令和7年度白山砂防管内砂防設備設計その2業務,国土交通省(MLIT) 北陸地方整備局,株式会社国土開発センター,20320000,,,,,,,,,,
北陸,440,2026/3/19,令和7年度能越道災害復旧詳細設計その3業務,国土交通省(MLIT) 北陸地方整備局,株式会社国土開発センター,20780000,,,,,,,,,,
北陸,441,2026/3/16,令和7年度下新川海岸自然環境調査業務,国土交通省(MLIT) 北陸地方整備局,株式会社国土開発センター,21620000,,,,,,,,,,
北陸,442,2026/2/27,令和7年度金沢河川国道管内河川測量業務,国土交通省(MLIT) 北陸地方整備局,株式会社国土開発センター,10500000,,,,,,,,,,
北陸,443,2026/1/26,令和7年度富山河川国道事務所管内建物再算定等業務,国土交通省(MLIT) 北陸地方整備局,株式会社国土開発センター,6700000,,,,,,,,,,
北陸,444,,令和5年度利賀ダム裁決申請図書等作成業務,国土交通省(MLIT) 北陸地方整備局 利賀ダム工事事務所,株式会社国土開発センター,10615000,,,,,,,,,,
北陸,445,,令和5年度利賀ダム建設発生土受入地等設計その2業務,国土交通省(MLIT) 北陸地方整備局 利賀ダム工事事務所,株式会社国土開発センター,19679000,,,,,,,,,,
北陸,446,2025/12/15,令和7年度金沢河川国道管内河川設計等業務,国土交通省(MLIT) 北陸地方整備局,株式会社国土開発センター,11480000,,,,,,,,,,
北陸,447,2026/3/11,令和7年度千曲川河川事務所管内多数権利者処理業務その4,国土交通省(MLIT) 北陸地方整備局,株式会社四門,12030000,,,,,,,,,,
北陸,448,2026/3/19,R7小出維持出張所発電機室新築他設計業務,国土交通省(MLIT) 北陸地方整備局,株式会社小林設計,13890000,,,,,,,,,,
北陸,449,,R6加治川除雪ステーション新築工事管理業務,国土交通省(MLIT) 北陸地方整備局 新潟国道事務所,"株式会社小林設計
あい設計株式会社",,,,,,,,,,,
北陸,450,2026/3/18,令和8年度三国川ダム流量観測等業務,国土交通省(MLIT) 北陸地方整備局,株式会社聖測コンサルタント,10650000,,,,,,,,,,
北陸,451,,R5紫竹山道路 除雪車庫2増築設計その2業務,国土交通省(MLIT) 北陸地方整備局 新潟国道事務所,株式会社都市環境設計,1017500,,,,,,,,,,
北陸,452,2026/3/23,令和7年度金沢管内河川機械設備更新等設計業務,国土交通省(MLIT) 北陸地方整備局,株式会社東京建設コンサルタント,33200000,,,,,,,,,,
北陸,453,2026/3/13,令和7年度鹿島川下流渓流保全工等施設配置計画検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社東京建設コンサルタント,39358000,,,,,,,,,,
北陸,454,2026/2/9,令和7年度小矢部川水系河川整備計画点検検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社東京建設コンサルタント,19965000,,,,,,,,,,
北陸,455,2026/1/26,令和7年度神通川左岸域内外水統合型水害リスクマップ作成検討業務,国土交通省(MLIT) 北陸地方整備局,株式会社東京建設コンサルタント,24585000,,,,,,,,,,
北陸,456,2024/4/1,令和6年度関川流量観測及び採水業務,国土交通省(MLIT) 北陸地方整備局 高田河川国道事務所,株式会社平成測量,41800000,,,,,,,,,,
北陸,457,2026/3/23,令和7・8年度金沢河川国道管内道路防災点検業務,国土交通省(MLIT) 北陸地方整備局,基礎地盤コンサルタンツ株式会社,28500000,,,,,,,,,,
北陸,458,2026/3/13,令和7年度富山管内道路地質調査その3業務,国土交通省(MLIT) 北陸地方整備局,基礎地盤コンサルタンツ株式会社,19560000,,,,,,,,,,
北陸,459,2026/2/24,令和7年度下新川海岸越湖地区海底地質調査業務,国土交通省(MLIT) 北陸地方整備局,基礎地盤コンサルタンツ株式会社,45840000,,,,,,,,,,
北陸,460,2026/3/13,令和7年度能越道災害復旧詳細設計その1業務,国土交通省(MLIT) 北陸地方整備局,大日本ダイヤコンサルタント株式会社,42330000,,,,,,,,,,
北陸,461,2026/3/16,令和7年度海側幹線道路予備設計業務,国土交通省(MLIT) 北陸地方整備局,大日本ダイヤコンサルタント株式会社,36270000,,,,,,,,,,
北陸,462,2026/3/10,令和7年度国道249号中屋地区橋梁詳細設計その2業務,国土交通省(MLIT) 北陸地方整備局,大日本ダイヤコンサルタント株式会社,33920000,,,,,,,,,,
北陸,463,2026/3/10,令和7年度国道249号中屋地区橋梁詳細設計その1業務,国土交通省(MLIT) 北陸地方整備局,大日本ダイヤコンサルタント株式会社,65700000,,,,,,,,,,
北陸,464,2026/3/12,令和7年度国道253号十日町道路4号トンネル予備設計業務,国土交通省(MLIT) 北陸地方整備局,大日本ダイヤコンサルタント株式会社,22970000,,,,,,,,,,
北陸,465,2026/3/10,R7栗ノ木高架橋修正設計業務,国土交通省(MLIT) 北陸地方整備局,大日本ダイヤコンサルタント株式会社,49350000,,,,,,,,,,
北陸,466,2025/11/4,令和7年度姫川流域砂防施設修正設計業務,国土交通省(MLIT) 北陸地方整備局 松本砂防事務所,大日本ダイヤコンサルタント株式会社,17138000,,,,,,,,,,
北陸,467,2025/10/27,令和7年度信濃川上流域砂防施設設計業務,国土交通省(MLIT) 北陸地方整備局 松本砂防事務所,大日本ダイヤコンサルタント株式会社,20966000,,,,,,,,,,
北陸,468,2026/3/23,令和7年度 北陸地方整備局通信鉄塔耐震診断業務,国土交通省(MLIT) 北陸地方整備局,電設コンサルタンツ株式会社,17280000,,,,,,,,,,
北陸,469,2024/7/17,R6越後公園電気通信設備設計業務,国土交通省(MLIT) 北陸地方整備局 国営越後丘陵公園事務所,電設コンサルタンツ株式会社,17820000,,,,,,,,,,
北陸,470,2026/3/13,令和7年度能越道災害復旧詳細設計その2業務,国土交通省(MLIT) 北陸地方整備局,東京コンサルタンツ株式会社,42300000,,,,,,,,,,
北陸,471,,令和5年度金沢河川国道道路測量業務,国土交通省(MLIT) 北陸地方整備局 金沢河川国道事務所,日本海航測株式会社,88110000,,,,,,,,,,
北陸,472,,令和5年度利賀ダム電気通信設備詳細設計業務,国土交通省(MLIT) 北陸地方整備局 利賀ダム工事事務所,日本工営エナジーソリューションズ株式会社,103136000,,,,,,,,,,
北陸,473,2026/1/26,R7能登復興(道路)地質調査(その4)外業務,国土交通省(MLIT) 北陸地方整備局,日本工営株式会社,55880000,,,,,,,,,,
北陸,474,,令和6年度常願寺川土砂移動モニタリング検討業務,国土交通省(MLIT) 北陸地方整備局 立山砂防事務所,日本工営株式会社,29997000,,,,,,,,,,
北陸,475,2026/3/16,令和7年度石川海岸人工リーフ補強設計等業務,国土交通省(MLIT) 北陸地方整備局,八千代エンジニアリング株式会社,39996000,,,,,,,,,,
北陸,476,2026/3/24,令和7年度大町ダム等再編不動沢土砂モニタリング計画検討業務,国土交通省(MLIT) 北陸地方整備局,八千代エンジニヤリング株式会社,16300000,,,,,,,,,,
北陸,477,2026/3/11,令和7年度大河津分水路新第二床固段階施工計画検討業務,国土交通省(MLIT) 北陸地方整備局,八千代エンジニヤリング株式会社,39710000,,,,,,,,,,
北陸,478,2025/4/1,令和7年度立山砂防事務所管内流量観測業務,国土交通省(MLIT) 北陸地方整備局 立山砂防事務所,北陸コンサルタント株式会社,22110000,,,,,,,,,,
北陸,479,2025/4/1,R6.7信濃川下流(三条管内)堰等管理支援業務,国土交通省(MLIT) 北陸地方整備局 信濃川下流河川事務所,北陸土木サービス株式会社,233970000,,,,,,,,,,
北陸,480,2024/4/1,令和6・7年度高田河川国道事務所工事監督支援業務,国土交通省(MLIT) 北陸地方整備局 高田河川国道事務所,令和6・7年度高田河川国道事務所工事監督支援業務建設マネジメント北陸東・北陸土木サービス設計共同体,93060000,,,,,,,,,,
北陸,481,2026/3/24,令和7・8年度手取川・梯川河川管理施設監理検討業務,国土交通省(MLIT) 北陸地方整備局,令和6・7年度手取川・梯川河川管理施設監理検討業務北陸地域づくり,23562000,,,,,,,,,,
北陸,482,2025/12/3,令和7・8年度湯沢砂防事務所管内環境調査業務【2ヶ年国債】,国土交通省(MLIT) 北陸地方整備局 湯沢砂防事務所,令和7・8年度湯沢砂防事務所管内環境調査業務アジア航測・エコノス設計共同体,,,,,,,,,,,
関東,483,2025/4/1,令和7年度 関東地方整備局管内港湾等技術審?補助業務,国土交通省(MLIT) 関東地方整備局,一般財団法人港湾空港総合技術センター,21120000,,,,,,,,,,
関東,484,2026/3/6,R7関東管内7水系洪水予測システム精度向上検討業務,国土交通省(MLIT) 関東地方整備局,株式会社建設技術研究所,80069000,,,,,,,,,,
関東,485,2026/3/6,R7荒川水系洪水予測システム精度向上検討業務,国土交通省(MLIT) 関東地方整備局,日本工営株式会社,26257000,,,,,,,,,,
関東,486,2026/3/17,令和7年度 千葉港海岸船橋地区船橋排水機場詳細設計業務,国土交通省(MLIT) 関東地方整備局,株式会社ニュージェック,55360000,,,,,,,,,,
関東,487,2026/3/3,【関東地方整備局 利根川下流河川事務所】R8北千葉導水路点検整備・運転管理業務,国土交通省(MLIT) 関東地方整備局 利根川下流河川事務所,株式会社荏原製作所,229000000,,,,,,,,,,
関東,488,2026/2/2,令和7年度 川崎港臨港道路東扇島水江町線整備効果検討業務,国土交通省(MLIT) 関東地方整備局 京浜港湾事務所,八千代エンジニヤリング株式会社,18645000,,,,,,,,,,
関東,489,2026/2/9,【関東地方整備局、国営昭和記念公園事務所】R7ー11昭和記念公園事務所外1箇所機械警備業務,国土交通省(MLIT) 関東地方整備局,ALSOK株式会社,20000,,,,,,,,,,
関東,490,2026/3/19,R8利根川上流管内維持管理方策検討業務,国土交通省(MLIT) 関東地方整備局,R7利根川上流管内維持管理方策検討業務エコー・河川財団設計,,,,,,,,,,,
関東,491,2026/2/3,R7・R8銚子出張所庁舎新営工事監理業務,国土交通省(MLIT) 関東地方整備局,株式会社建綜研,7801400,,,,,,,,,,
関東,492,,R8霞ヶ浦導水事業効果検討業務,国土交通省(MLIT) 関東地方整備局,株式会社建設技術研究所,,,,,,,,,,,
関東,493,2026/3/19,R8那珂川河道整備方策他検討業務,国土交通省(MLIT) 関東地方整備局,いであ株式会社,,,,,,,,,,,
関東,494,2026/3/19,R8久慈川河道整備方策他検討業務,国土交通省(MLIT) 関東地方整備局,株式会社日水コン,,,,,,,,,,,
関東,495,2026/3/17,R7日立国道出張所庁舎外建築改修その他設計業務,国土交通省(MLIT) 関東地方整備局,株式会社dradra,22500000,,,,,,,,,,
関東,496,2026/3/19,R8久慈川・那珂川環境整備事業等検討業務,国土交通省(MLIT) 関東地方整備局,R8久慈川・那珂川環境整備事業等検討業務リバーフロント研究所・日水コン設計共同体,,,,,,,,,,,
関東,497,,R8新技術活用に関する技術検討業務,国土交通省(MLIT) 関東地方整備局,,"17,280,000",,,,,,,,,,
関東,498,2026/1/30,国際園芸博覧会政府展示施設(仮称)(25)工事監理業務,国土交通省(MLIT) 関東地方整備局,株式会社三輝設計事務所,62264400,,,,,,,,,,
関東,499,2026/3/11,R8松木山腹工における体験植樹補助業務,国土交通省(MLIT) 関東地方整備局 渡良瀬川河川事務所,特定非営利活動法人足尾に緑を育てる会,,,,,,,,,,,
関東,500,2026/3/10,R7東京国道管内道路空間利活用検討業務,国土交通省(MLIT) 関東地方整備局,株式会社オリエンタルコンサルタンツ,,,,,,,,,,,
関東,501,2026/3/12,R8荒川上流管内エコロジカルネットワーク検討業務,国土交通省(MLIT) 関東地方整備局,株式会社建設環境研究所,,,,,,,,,,,
関東,502,2026/3/17,令和7年度 千葉港海岸船橋地区船橋排水機場詳細設計業務(電子入札対象案,国土交通省(MLIT) 関東地方整備局 千葉港湾事務所,株式会社ニュージェック,55360000,,,,,,,,,,
関東,503,2026/3/4,R8荒川中流部改修事業監理等業務,国土交通省(MLIT) 関東地方整備局,一般社団法人関東地域づくり協会,,,,,,,,,,,
関東,504,2026/3/18,R8東京国道管内渋滞対策検討業務,国土交通省(MLIT) 関東地方整備局,株式会社オリエンタルコンサルタンツ,,,,,,,,,,,
関東,505,2026/3/4,R7相俣ダム堰堤改良工事技術評価業務,国土交通省(MLIT) 関東地方整備局,一般財団法人ダム技術センター,,,,,,,,,,,
関東,506,2026/3/4,R8牛久土浦BP事業監理8K2業務,国土交通省(MLIT) 関東地方整備局,R8牛久土浦BP事業監理8K2業務関東地域づくり協会・近代設計設計共同体,,,,,,,,,,,
関東,507,2026/3/6,R8東関道水戸線道路事業監理8C3業務,国土交通省(MLIT) 関東地方整備局,8東関道水戸線道路事業監理8C3業務長大・クリエート設計共同体,,,,,,,,,,,
関東,508,2026/3/6,R8圏央道事業監理8K3業務,国土交通省(MLIT) 関東地方整備局,株式会社綜合技術コンサルタント,,,,,,,,,,,
関東,509,,R8東関道水戸線道路事業監理8C2業務,国土交通省(MLIT) 関東地方整備局,R8東関道水戸線道路事業監理8C2業務長大・関東地域づくり協会設計共同体,,,,,,,,,,,
関東,510,2026/1/19,令和7年度 千葉港千葉中央地区防波堤他施工検討業務,国土交通省(MLIT) 関東地方整備局 千葉港湾事務所,一般財団法人港湾空港総合技術センター,20020000,,,,,,,,,,
関東,511,2026/3/12,R8銚子・金江津出張所管内監理業務,国土交通省(MLIT) 関東地方整備局,R8銚子・金江津出張所管内監理業務関東建設・技建設計共同体,,,,,,,,,,,
関東,512,2025/12/25,令和7年度 千葉港千葉中央地区防波堤他施工検討業務,国土交通省(MLIT) 関東地方整備局,一般財団法人港湾空港総合技術センター,,,,,,,,,,,
関東,513,2026/3/18,R8東京国道管内自転車通行空間整備等検討業務,国土交通省(MLIT) 関東地方整備局,八千代エンジニヤリング株式会社,,,,,,,,,,,
関東,514,2026/3/24,R8東京国道事務所管内橋梁補修事業監理業務,国土交通省(MLIT) 関東地方整備局,日本工営株式会社,,,,,,,,,,,
関東,515,2026/3/19,R7統一河川情報システム集約・効率化検討業務,国土交通省(MLIT) 関東地方整備局,R7統一河川情報システム集約・効率化検討業務河川情報センター・建設電気技術協,,,,,,,,,,,
関東,516,2026/3/3,R7霞ヶ浦河川事務所他建築改修その他設計業務,国土交通省(MLIT) 関東地方整備局,株式会社本沢建築設計事務所,19950000,,,,,,,,,,
関東,517,2026/3/17,R7新屋拡幅用地調査等(その1)業務,国土交通省(MLIT) 関東地方整備局,株式会社オオバ,24770000,,,,,,,,,,
関東,518,2026/3/17,R7新屋拡幅用地調査等(その2)業務,国土交通省(MLIT) 関東地方整備局,株式会社四門,24710000,,,,,,,,,,
関東,519,2026/3/17,R7甲府河川管内排水樋管ゲート設備無動力化設計業務,国土交通省(MLIT) 関東地方整備局,日本工営株式会社,48980000,,,,,,,,,,
関東,520,2026/3/17,R7荒川上流用地調査等業務,国土交通省(MLIT) 関東地方整備局,株式会社四門,20030000,,,,,,,,,,
関東,521,2026/3/23,R7新山梨環状道路(甲斐宇津谷)橋梁設計業務,国土交通省(MLIT) 関東地方整備局,大日本ダイヤコンサルタント株式会社,56110000,,,,,,,,,,
関東,522,2026/3/12,R7荒川上流水門設備改良詳細設計業務,国土交通省(MLIT) 関東地方整備局,パシフィックコンサルタンツ株式会社,28810000,,,,,,,,,,
関東,523,2026/3/11,R7常陸河川国道管内橋梁補修設計(その2)業務,国土交通省(MLIT) 関東地方整備局,株式会社橋梁コンサルタント,48810000,,,,,,,,,,
