エリア,No.,落札日,案件名,機関（発注者名）,落札会社名,落札価格（円）,支店名,電話番号,担当者,メールアドレス,Mazricaコンタクト,アプローチ方法,ステータス,最終接点日,Malme担当,アクション履歴
北海道,35,2025/10/7,根室港施設整備検討業務,国土交通省(MLIT) 北海道開発局 釧路開発建設部,株式会社クマシロシステム設計,13200000,,,,,,,,,,
北海道,36,2026/3/12,平取ダム自然環境調査業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社ケイジー技研,42270000,,,,,,,,,,
北海道,37,2026/3/12,一般国道12号 滝川市外 交通事故対策設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社シビテック,28094000,,,,,,,,,,
北海道,38,2026/3/5,一般国道236号(高規格道路)大樹広尾道路工事12工区用地測量業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社ズコーシャ,36470000,,,,,,,,,,
北海道,39,2026/3/5,一般国道235号(高規格幹線道路)静内三石道路1工区(その2)用地調査等業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社タナカコンサルタント,19390000,,,,,,,,,,
北海道,40,2026/3/18,網走開発建設部管内 橋梁点検業務,国土交通省(MLIT) 北海道開発局 網走開発建設部,株式会社タナカコンサルタント,92059000,,,,,,,,,,
北海道,41,2026/3/5,一般国道36号白老町北吉原測量業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社タナカコンサルタント,20190000,,,,,,,,,,
北海道,42,2026/3/12,苫小牧道路事務所橋梁点検調査業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社タナカコンサルタント,60170000,,,,,,,,,,
北海道,43,2026/3/5,一般国道235号(高規格幹線道路)静内三石道路1工区(その2)用地調査等業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社タナカコンサルタント,19390000,,,,,,,,,,
北海道,44,2026/3/5,平取ダム外堆砂測量業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社タナカコンサルタント,29760000,,,,,,,,,,
北海道,45,2026/3/19,千歳道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社ドーコン,49764000,,,,,,,,,,
